position,company,description,numreview,city,state
Data Analyst,Operation HOPE,"DEPARTMENT: Program OperationsPOSITION LOCATIONS: Atlanta, GA.ACCOUNTABILITY:  President of Program OperationsFor 25 years Operation HOPE has been dedicated to empowering underserved communities through financial literacy, now our work encompasses more than financial education. Our work is about instilling knowledge and confidence in those we serve so they can experience, sometimes for the first time in their lives, financial dignity.JOB SUMMARYThe data analyst collects, organizes, mines, analyzes, and audits large sets of data for impact reporting and operational optimization. The Data Analyst participates as a team member responsible for maintaining the integrity of client database information and provides executable and actionable recommendations for data migration best practices and field operations based on analytical findings.DUTIES AND RESPONSIBILITIESInitiate and participate in data mining and reportingAudit and profile the data to assess the impact of poor quality data on the organization’s performance and impacts.Conduct A/B testing based on different hypotheses that directly and indirectly impact operational key performance indicators.Create and support data visualization through operational and executive dashboards.Import/Collect, clean, convert and analyze data for the purpose of find insights and making conclusions.Design and develop relational databases for collecting data.Monitor the performance of data systems and if there are any issues then respond to the same.Keep a track of trends, patterns and correlation in case of complex data sets.Prepare concise data reports and data visualizations for the management that will help in decision-making process.Assist the data scientist in development of new analytical tools and methods as and when required.REQUIRED SKILLS AND EDUCATIONBachelor’s DegreeTwo or more years as a data analyst in related fieldAble to understand various data structures and common methods in data transformationExperience in basic statistical modeling and reportingExperience in SQL, relational databases, database concepts, dimensional modeling and database designProficient in one or more programming languages: R, Python, STATA, SASExperience with Caseworthy, SQL and TableauEEOSTATEMENTOperation HOPE is an Equal Opportunity Employer, all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, national origin, protected veteran status, disability status, sexual orientation, gender identity or expression, marital status, genetic information or any other characteristic protected by law.Job Type: Full-timeSalary: $50,000.00 to $60,000.00 /yearExperience:data analyst in related field: 2 yearsbasic statistical modeling and reporting: 2 yearsProgramming languages: R, Python, STATA, SAS: 2 yearsSQL, relational databases, database concepts/design: 2 yearsCaseworthy, SQL and Tableau: 1 yearEducation:Bachelor'sLocation:Atlanta, GA",44,Atlanta,GA
Assistant Professor -TT - Signal Processing & Machine Learning,Emory University,"DESCRIPTION
The Emory University Department of Biomedical Informatics is recruiting for tenure track faculty positions in the area of biomedical informatics and data science with the possibility of joint appointments in other departments including the Department of Radiology &amp; Imaging Sciences and the Georgia Institute of Technology/Emory Wallace H. Coulter Department of Biomedical Engineering. The Department of Biomedical Informatics is a highly dynamic and multidisciplinary environment that has strengths in clinical informatics, imaging informatics, bioinformatics, machine learning, signal processing and mHealth. The clinical informatics group fosters collaborative projects between software systems researchers and scientific research groups, and between clinical informatics researchers, clinicians and healthcare. The Emory Department of Biomedical Informatics is closely aligned with the Emory University Department of Math and Computer Science, with Emory Healthcare Information Services, Emory University Research Informatics and Georgia Institute of Technology/Emory Wallace H. Coulter Department of Biomedical Engineering. Many members of our faculty hold joint appointments.

The successful candidate will provide leadership in planning and implementing future information systems that support clinical research as well as develop a multi-disciplinary research program in areas related to the strengths and interests of the School of Medicine. They will enable comparative analyses and integration of enormous data sets across multiple studies and sources. The candidate will also interface with technology infrastructure efforts supporting biomedical research in the Atlanta Clinical and Translational Science Institute's Biomedical Informatics Program (http://www.atlantactsi.org/areas/bip/) and other BD2K related initiatives. These technologies are expected to create an outstanding foundation for biomedical informatics research both locally and nationally. The candidate will publish in peer-reviewed conferences and journals, participate in and lead clinical informatics-related proposals, and engage in relevant service and committees.

ADDITIONAL DETAILS
Candidates to submit cover letter detailing your plans for future research, your CV, a list of no more than 10 of your most relevant publications and contact details for between three and five references.
Applicants must have an MD or PhD in Computer Science, Biomedical Informatics or a related field and three years of research and development experience in clinical and/or translational research informatics. There must be a proven publication record in leading peer-reviewed journals/conferences and demonstrated potential to obtain extramural funding. The successful candidate should have experience in several of the following: bioinformatics software development, data warehousing and data mining, massive scale database searches, cloud computing, machine learning, signal &amp; image processing, statistical inference, and natural language processing. Research and/or development experience in imaging informatics, mHealth informatics, ontology management and knowledge integration; design of tools intended to support the discovery, analysis and integration of high-throughput biomedical data sets; and tools and techniques for extraction and codification of information contained in biological and clinical unstructured text is desirable. Familiarity with HIPAA regulation and privacy projection requirements is necessary. A demonstrated ability to teach data science, biomedical informatics and computer science courses is important.-65750BR",550,Atlanta,GA
Manager of Data Engineering,McKinsey & Company,"Qualifications
Bachelor’s degree in Computer Science, Information Systems or closely related field
10+ years of experience in Data Architecture in a professional services environment is highly preferred
Experience overseeing the data stream of multiple projects including client deployments, integration and migration efforts
Expertise in handling large amounts of data through such capabilities as SQL Server, Postgres, Exasol, Alteryx and Hadoop ecosystem
Experience working in cloud architecture including AWS or Azure environments
Exceptional analytical and quantitative problem solving skills
Adept at communicating and managing key stakeholders and able to drive change in the organization
Ability to work collaboratively in a team environment and provide continuous mentoring to junior members of the organization
Entrepreneurial spirit with desire to work in fast-paced, start-up environment, with the ability to consistently deliver exceptional results on demanding timelines
Travel requirements - 50%-60%
Who You'll Work With
You'll be based in New Jersey, Atlanta, Waltham or Chicago and will be a part of the Periscope team. Periscope is part of McKinsey Solutions and of McKinsey’s New Ventures.

Founded in 2007, Periscope™ by McKinsey enables better commercial decisions by uncovering actionable insights. The Periscope platform combines world leading intellectual property, prescriptive analytics, and cloud based tools to provide more than 25 solutions focused on insights and marketing, with expert support and training. It is a unique combination that drives revenue growth both now and in the future. Customer experience, performance, pricing, category, and sales optimization are powered by the Periscope platform. Periscope has a presence in 26 locations across 16 countries with a team of 350+ IT and business professionals and a network of 300+ experts. To learn more about how Periscope’s solutions and experts are helping businesses continually drive better performance, visit http://www.periscope-solutions.com/.

McKinsey New Ventures fosters innovation driven by analytics, design thinking, mobile and social by developing new products/services and integrating them into our client work. It is helping to shift our model toward asset-based consulting and is a foundation for –and expands our investment in –our entrepreneurial culture. Through innovative software as a service solutions, strategic acquisitions, and a vibrant ecosystem of alliances, we are redefining what it means to work with McKinsey.

As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists) and we’re hiring more mathematicians, data scientists, designers, software engineers, product managers, client development managers and general managers.
What You'll Do
You’ll work closely with Marketing &amp; Sales Ventures client service team and will play a key role in data architecture and delivery.

You'll lead a team of Data Engineers to determine database structural requirements by analyzing client operations, applications, and programming; reviewing objectives with clients and evaluating current systems. You’ll develop database solutions by designing proposed system; defining database physical structure and functional capabilities, security, back-up, and recovery specifications. You will install database systems by developing flowcharts; applying optimum access techniques; coordinating installation and documents actions.

Additionally, you’ll maintain database performance by identifying and resolving production and application development problems; calculating optimum values for parameters; evaluating, integrating, and installing new releases; completing maintenance and answering questions. You will provide database support by coding utilities, responding to user questions, and resolving problems.",385,Atlanta,GA
"Product Specialist - Periscope, New Ventures",McKinsey & Company,"Qualifications
Bachelor’s degree
5-7 years of experience in hands-on software design and deployment in either a professional services or in-house systems administration role
Demonstrated impact in a product management and/ or solutions architecture role for a minimum of 2 years
Familiar with cloud-based architecture, including data management and integration architecture
Creative thinker with ability to work with and translate between technical and business team members, while adhering to user-centered design principles
Passion for commercial excellence, including sales growth and pricing optimization
Strong organizational, process and project management skills
Excellent problem-solving skills
Proactive self-starter, with a very strong ownership mindset
Excellent communication skills, with an eye for detail
Able to adapt quickly and work in dynamic environment
Ability to flex working hours to support global team
Entrepreneurial spirit with desire to work in fast-paced, start-up environment, with the ability to consistently deliver exceptional results on demanding timelines
Willingness to travel up to 50% of the time
Who You'll Work With
You’ll be part of the Periscope team and will be based in New Jersey or Atlanta. You will work with product &amp; technology and client service teams in developing and delivering digital solutions that enable McKinsey clients globally to achieve commercial excellence. Periscope is part of McKinsey’s New Ventures.

Founded in 2007, Periscope™ by McKinsey enables better commercial decisions by uncovering actionable insights. The Periscope platform combines world leading intellectual property, prescriptive analytics, and cloud based tools to provide more than 25 solutions focused on commercial excellence, including sales, pricing, customer insights and marketing. Periscope experts work closely with clients to embed these solutions into operational IT environments, and work closely with McKinsey’s Marketing &amp; Sales consultants to transform client business processes to deliver revenue growth both now and in the future. Periscope has a presence in 26 locations across 16 countries with a team of 350+ IT and business professionals and a network of 300+ experts. To learn more about how Periscope’s solutions and experts are helping businesses continually drive better performance, visit http://www.periscope-solutions.com/.

McKinsey New Ventures fosters innovation driven by analytics, design thinking, mobile and social by developing new products/services and integrating them into our client work. It is helping to shift our model toward asset-based consulting and is a foundation for –and expands our investment in –our entrepreneurial culture. Through innovative software as a service solutions, strategic acquisitions, and a vibrant ecosystem of alliances, we are redefining what it means to work with McKinsey.

As one of the fastest-growing parts of our firm, New Ventures has more than 1,500 dedicated professionals (including more than 800 analysts and data scientists) and we’re hiring more mathematicians, data scientists, designers, software engineers, product managers, client development managers and general managers.
What You'll Do
You'll develop and deliver new innovative digital solutions for our clients, working closely with our solution leaders, technology leaders, product developers, data scientists, and client service teams.

Working with our product teams and clients, you will play a key role in shaping the overall product roadmap of Periscope and in designing and launching standardized support processes for solutions.

You will specifically focus on B2B applications, including sales and pricing applications. You will convert best practice analytic insights into operational systems, by leading new functionality in the Periscope platform, configuring industry-leading platforms (e.g., Salesforce, Microsoft Dynamics, Anaplan), and by creating innovative business intelligence workspaces (e.g., Tableau, Alteryx).

You will interact with clients and client service teams to deploy these solutions at clients, while maintaining a broad view of backlog and roadmap. You will work closely with internal and external stakeholders to capture feedback on how our tools are used and potential improvements to products and our support processes.",385,Atlanta,GA
"Junior to Mid-level Engineer, Geologist or Environmental Scientist",Wood,"Overview / Responsibilities
Wood Environment &amp; Infrastructure Solutions has an immediate need for a Junior to Mid-level Engineer, Geologist or Environmental Scientist. The position will support the Remediation Project Managers. The candidate should be eager to learn and be able to follow specific instructions to execute field tasks safely, accurately and timely.

Key Responsibilities
The successful candidate will work on a variety of site investigation / remediation / demolition projects at industrial / commercial sites and / or government installations and conduct site assessment for real estate transactions. Duties will include performing routine, well-defined field and office assignments (technical and non-technical) including planning, conducting, and reporting on field investigations and remediation. Work may be conducted under a variety of regulatory programs (CERCLA, RCRA, UST, Brownfields) primarily in southeastern US. Will receive detailed instructions on work objectives, complex features and possible solutions and will receive close supervision and review of work. With experience, may be assigned tasks with minimal supervision. Specific work tasks are expected to include:
Field exploration, inspection, data collection analysis, and interpretation
Prepare maps, charts, boring logs, cross-sections depicting subsurface conditions
Run simple computer programs
Perform field testing using equipment and instrumentation
Prepare field reports, internal correspondence, sections of final reports
Oversee subcontractors and / or other company employees in the field
Prepare health and safety plans / job hazard analyses and follow company / site safety standards
Contact vendors; research literature and regulatory requirements
Conduct scientific calculations
Skills / Qualifications
Required
B.S. in Engineering, Geology, and / or applicable science
Excellent written and verbal communication skills
Ability to work independently and as part of a team
Strong commitment to safety
Basic familiarity with MS Office computer software
Ability to conduct basic geological field procedures and techniques
Ability to handle multiple assignments and maintain flexibility while meeting strict deadlines
Valid Georgia driver's license
A physical exam is required to obtain medical clearance to work on hazardous waste sites
Flexibility to travel and work outside normal business hours as required
Preferred
OSHA 40-hr HAZWOPER Training
Experience conducting Phase I / II environmental site assessments in accordance with ASTM standards
Experience and understanding of various remediation techniques
Physical Demands
Physically fit and able to travel to work in the field in potentially difficult terrain and under a variety of weather conditions (cold, heat, wind, rain) as required to accomplish project execution. Able to occasionally lift over 50 pounds and able to wear respirator, if required, to mitigate dust or fumes
Company Overview
Wood is a global leader in the delivery of project, engineering and technical services to energy and industrial markets. We operate in more than 60 countries, employing around 55,000 people, with revenues of around $10 billion. We provide performance driven solutions throughout the asset life cycle, from concept to decommissioning across a broad range of industrial markets including the upstream, midstream and downstream oil &amp; gas, power &amp; process, environment and infrastructure, clean energy, mining, nuclear and general industrial sectors. We strive to be the best technical services company to work with, work for and invest in.
www.woodplc.com
Diversity Statement
We are an equal opportunity employer that recognises the value of a diverse workforce. All suitably qualified applicants will receive consideration for employment on the basis of objective criteria and without regard to the following (which is a non-exhaustive list): race, colour, age, religion, gender, national origin, disability, sexual orientation, gender identity, protected veteran status, or other characteristics in accordance with the relevant governing laws.",899,Atlanta,GA
Analyst - CIB Credit Research,SunTrust,"Works closely with senior CIB professionals. Performs assigned duties, including but not limited to, due diligence, document processing, financial modeling, statistical analysis, research, and presentation development. Follows all risk related practices and policies.
Support senior credit research analyst conducting bottom-up, fundamental credit analysis of both high yield and investment grade corporations, including building financial models.
Develop commentary and analyses to provide investing/trading strategies to institutional fixed-income investors.
Work with sales professionals and bond traders to assist in managing day-to-day trading and monitoring news flow.
Speak with management teams, rating agencies and other industry sources to develop investment/trading strategies.

Qualifications
Minimum Requirements:
 BA/BS degree
 Proven analytical ability and attention to detail
 Solid leadership and interpersonal skills
 Proven ability to work well in a fast-paced, team-oriented environment
 Strong written and oral communication skills
 Some related work experience since graduation from an undergraduate program
Preferred Requirements:
 1 year of related work experience since graduation from an undergraduate program
Equal Opportunity Employer: SunTrust supports a diverse workforce and is a Drug Testing and Equal Opportunity Employer. SunTrust does not discriminate against individuals on the basis of race, creed, color, gender, religion, national originTo review the EEO Poster, copy and paste the following link into your browser: http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf http://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf",3343,Atlanta,GA
Senior Associate - Cognitive Data Scientist Natural Language Processing,KPMG,"Known for being a great place to work and build a career, KPMG provides audit, tax and advisory services for organizations in today’s most important industries. Our growth is driven by delivering real results for our clients. It’s also enabled by our culture, which encourages individual development, embraces an inclusive environment, rewards innovative excellence and supports our communities. With qualities like those, it’s no wonder we’re consistently ranked among the best companies to work for by Fortune Magazine, Consulting Magazine, Working Mother Magazine, Diversity Inc. and others. If you’re as passionate about your future as we are, join our team.
KPMG is currently seeking a Senior Associate - Cognitive Data Scientist Natural Language Processing, to join our National Organization.
Responsibilities:
Define, develop and prototype cognitive solutions for KPMGs business needs, such as Natural Language Processing (NLP), Linguistics, Advanced Semantic Design, Information Extraction, Information Retrieval, Probabilistic Decision Making, image recognition, deep learning, Machine Learning, cognitive science and analytics
Serve as a developer and Subject Matter Expert (SME) in one or several of the above mentioned domains and help establish a competency in those cognitive areas for KPMG
Work closely with various KPMG functional teams to incorporate cognitive and advanced analytics models and algorithms into KPMGs solutions and offerings to its clients
AI Scientist will serve as Thought Leader in their cognitive area of expertise, developing internal and external eminence and intellectual property, as well as support client facing activities and influencing customer facing groups including senior executives, sales, as well as marketing and product development to successfully define, develop and launch new cognitive products
Model and algorithm development and optimization, working with software engineers to implement and productize the models and algorithms, engage in project specific activities as part of product development, as well as perform cognitive R&amp;D work, develop tools and assets to support advanced cognitive development tasks
Support business development efforts including guiding clients through the transformation process into a cognitive automation operating model
Qualifications:
Minimum of five years experience of professional post academic work preferably with a Ph.D. or MS in Computer Science, Applied Statistics, Engineering, Mathematics, Physics or other quantitative discipline with specialization
Experience in Artificial Intelligence, Machine Learning, Natural Language Processing, Cognitive Science or other related areas
Strong mathematical background with strong knowledge in at least one of the following fields: Cognitive Science, Advanced Semantic Design, Information Extraction, Information Retrieval, Probabilistic Decision Making, image recognition, deep learning
Experience leading project teams and people as well as executing independently
Excellent verbal and written communication skills with the ability to work with diverse teams in a highly matrixed environment
KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an equal opportunity employer. All qualified applicants are considered for employment without regard to race, color, creed, religion, age, sex/gender, national origin, ancestry, citizenship status, marital status, sexual orientation, gender identity or expression, disability, physical or mental handicap unrelated to ability, pregnancy, veteran status, unfavorable discharge from military service, genetic information, personal appearance, family responsibility, matriculation or political affiliation, or other legally protected status. KPMG maintains a drug-free workplace. KPMG will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable local, state or federal law (including San Francisco Ordinance number 131192). No phone calls or agencies please.",4494,Atlanta,GA
STATISTICAL FORECAST ANALYST,The Home Depot,":

The Statistical Forecast Analyst position is responsible for the development of The Home Depot sales forecast at the Store/SKU level. With input from the appropriate Replenishment Analysts, they establish Store/SKU clustering, Seasonal selling profiles and exception reporting criteria for their assigned product categories. They will make appropriate adjustments as dictated by forecast accuracy. The Statistical Forecast Analyst will work collaboratively with the Replenishment Analysts in reviewing and resolving forecast exceptions and ensuring the business strategies are appropriately implemented and maintained in the system. They will be required to interpret data based on specific statistical criteria and to synthesize the findings from the analysis. The Statistical Forecast Analyst will participate in strategic process improvements initiatives by analyzing business processes, procedures and monitoring the progress.

MAJOR TASKS, RESPONSIBILITES AND KEY ACCOUNTABILITIES:
60% Develop statistical forecast models by SKU/Store groups, establish parameters for Forecast exception reporting and make appropriate revisions as indicated from the exception reporting. Track forecast accuracy at various product and store hierarchy levels. Identify and mitigate sources of forecast variance through collaboration with Inventory Analysts and Upper Management.
10% Establish business rules for shaping customer demand in collaboration with functional partners regarding product seasonality, product knowledge and Merchandising strategies. Ensure forecast models are adjusted for changing business strategies and product assortments.
10% Share insights, challenge assumptions and identify drivers of forecast variance with appropriate Replenishment analysts and Management. The associate will provide formal training and on-going mentoring for the Replenishment Analysts.
10% The individual must perform other tasks regarding forecasts and sales analysis as deemed appropriate by the Manager.
10% Analyze, identify and implement opportunities for improvements to the forecasting process. Contributes significant participation in cross functional projects by developing timelines and coordinating teams across each area, ensuring on time delivery of goals and requirements. NATURE AND SCOPE:
Position generally reports to a Manager or Sr. Manager
Responsible for helping others and providing on-the-job training or guidance

ENVIRONMENTAL JOB REQUIREMENTS:
Environment: Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

Travel: Typically requires overnight travel less than 10% of the time.

MINIMUM QUALIFICATIONS:
Must be eighteen years of age or older.
Must be legally permitted to work in the United States.

Additional Minimum Qualifications: Strong analytical and statistical skills. Must be familiar with and comfortable with methods for organizing, handling and evaluating large amounts of data.

Education Required:
The knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related to the job.

Years of Relevant Work Experience: 1 years

Physical Requirements: Frequent periods are spent standing or sitting in the same location with some opportunity to move about; occasionally there may be a need to stoop or lift light objects (typically less than 8 pounds).

Preferred Qualifications:
Previous experience with demand forecasting or supply chain replenishment in an environment with high numbers of store/sku records.
Advanced computer skills to retrieve, manipulate, analyze and interpret large amounts of data. Experience with MS Office Excel and Access.
Prior experience using Teradata DCM forecasting software or a similar advanced demand forecasting tool.
Proficient in business process evaluation and procedure development; demonstrates a thorough knowledge of all tools, processes, methodologies and standards for requirements gathering, documentation and analysis.
Masters Degree with an emphasis in Supply Chain Management or Economics.

Knowledge, Skills, Abilities and Competencies:
Critical thinking skills to identify the strengths and weaknesses of alternative solutions; ability to understand and foresee implications of new information for current and future problem solving.
Solid understanding and use of statistical software to manipulate, analyze and interpret data.
Proficient in business process evaluation and procedure development; demonstrates a thorough knowledge of all tools, processes, methodologies and standards for requirements gathering, documentation and analysis.
Strong written and verbal communications skills. Ability to persuade or influence others.
Strong self starter with ability to work with little supervision.",38844,Atlanta,GA
Health Scientist III-CPTS,Chenega Corporation,"Chenega Professional &amp; Technical Services, LLC seeks a Health Scientist III to work in collaboration with CDC NCEZID’s Regulatory Affairs staff and others involved in public health emergency preparedness and response activities.

Essential Duties and Responsibilities: (Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions of this position)
Provide clinical, epidemiologic, scientific, and technical expertise and guidance on pathophysiology of diseases and clinical conditions.
Develop protocols and regulatory documents/applications required for the deployment and clinical utilization.
Initiate, coordinate, develop, review, submit, and maintain various regulatory mechanisms.
Use Authorization (Pre-EUA)/EUA requests, and/or Emergency Use Instructions (EUI)) to facilitate safe and effective clinical use of MCMs.
Evaluate, initiate and manage protocol amendments, annual reports, safety reports, and correspondences with FDA for currently existing regulatory mechanisms.
Draft scientific and technical documents of such as but not limited to scientific and technical documents regarding utilization of CBRN medical products, clinical protocols and amendments, informed consents, study reports, standard operating procedures (SOPs), manuscripts, communication and training materials for the intended audience for a wide range of CBRN MCMs based on the relevant data and in in accordance with CDC policy or recommendations.

Non-Essential Duties:
Other duties as assigned

Supervisory Responsibilities:
# of individuals/position or NONE

Minimum Qualifications: (To perform this job successfully, an individual must be able to perform each essential duty satisfactorily.)
Minimum of a Master’s Degree in disciplines such as science, nursing or pharmacy. Candidates with relevant professional licenses (i.e. RN) or certifications (i.e. RAPS) preferred. Minimum of six (6) years’ experience in clinical (outpatient and/or inpatient) settings. Prior CDC experience preferred.
FDA Regulatory experience
Regulatory experience
Public Health experience
Pharmacy experience and/or academia

Knowledge, Skills and Abilities:
Provide expert scientific regulatory knowledge, guidance and consultation regarding drugs, biologics and/or devices with a special emphasis on bioterrorism-related and other public health emergency preparedness and response.
Contribute to medical countermeasures clinical guidance development that involves researching new and existing data on MCMs; systematic reviews and literature searches to support the development of evidence-based recommendations, including data abstraction and interpretation; designing a clinical guidance development algorithm for biological threats; and preparing and editing clinical guidance documents.

Diversity:
Shows respect and sensitivity for cultural differences; Educates others on the value of diversity; Promotes a harassment-free environment; Builds a diverse workforce.

Ethics:
Treats people with respect; Keeps commitments; Inspires the trust of others; Works with integrity and ethically; Upholds organizational values.

Physical Demands:
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this Job, the employee is regularly required to sit and talk or hear. The employee is frequently required to walk; use hands to finger, handle, or feel and reach with hands and arms. The employee is occasionally required to stand; climb or balance and stoop, kneel, crouch, or crawl. The employee must occasionally lift and/or move up to 25 pounds. Specific vision abilities required by this job include close vision.

Work Environment:
The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job.
The employee will normally work in a temperature-controlled office environment, with frequent exposure to electronic office equipment.
During visits to areas of operations, may be exposed to extreme cold or hot weather conditions. Is occasionally exposed to fumes or airborne particles, toxic or caustic chemicals, and loud noise.

Chenega Corporation and family of companies is an EOE.
Equal Opportunity Employer Minorities/Women/Veterans/Disabled/Sexual Orientation/Gender Identity
Native preference under PL 93-638.
We participate in the E-Verify Employment Verification Program. M#

Qualifications
Minimum Qualifications: (To perform this job successfully, an individual must be able to perform each essential duty satisfactorily.)
Minimum of a Master’s Degree in disciplines such as science, nursing or pharmacy. Candidates with relevant professional licenses (i.e. RN) or certifications (i.e. RAPS) preferred. Minimum of six (6) years’ experience in clinical (outpatient and/or inpatient) settings. Prior CDC experience preferred.
FDA Regulatory experience
Regulatory experience
Public Health experience
Pharmacy experience and/or academia
Job Medical Research
Primary LocationUnited States-Georgia-Atlanta
Organization Chenega Professional &amp; Technical Services
Recruiter Melanie Anderson",390,Atlanta,GA
"Senior Associate, Data Scientist",KPMG,"Innovate. Collaborate. Shine. Lighthouse — KPMG's Center of Excellence for Advanced Analytics — has both applied data science, AI, and big data architecture capabilities. Here, you’ll work with a diverse team of sophisticated data and analytics professionals to explore the solutions for clients in a platform-diverse environment. This means your ability to find answers is limited only by your creativity in leveraging a vast array of techniques and tools. Be a part of a high-energy, diverse, fast-paced, and innovative culture that delivers with the agility of a tech startup and the backing of a leading global consulting firm. For you, that translates into the chance to work on a wide range of projects — covering technologies and solutions from AI to optimization — and the power to have a real impact in the business world. So, bring your creativity and pioneering spirit to KPMG Lighthouse.
KPMG is currently seeking a Senior Associate to join our KPMG Lighthouse - Center of Excellence for Advanced Analytics.
Responsibilities:
Analyze and model structured data using advanced statistical methods and implement algorithms and software needed to perform analyses
Build recommendation engines, spam classifiers, sentiment analyzers and classifiers for unstructured and semi-structured data
Cluster large amount of user generated content and process data in large-scale environments using Amazon EC2, Storm, Hadoop and Spark
Perform machine learning (ML), natural language (NLP), artificial intelligence (AI), text mining and statistical analysis methods, such as classification, collaborative filtering, association rules, sentiment analysis, topic modeling, time-series analysis, regression, statistical inference, and validation methods
Participate in client engagements focused on big data and advanced business analytics, in diverse domains such as product development, marketing research, public policy, optimization, and risk management; communicate results and educate others through reports and presentations
Perform explanatory data analyses, generate and test working hypotheses, prepare and analyze historical data and identify patterns
Qualifications:
A minimum of three years of professional experience working as a Data Scientist
Master's degree or PhD from an accredited college/university in Computer Science, Statistics, Mathematics, Engineering, Bioinformatics, Physics, Operations Research, or related fields, with a strong mathematical background and ability to understand algorithms and methods from a mathematical viewpoint and an intuitive viewpoint
Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud environment
Strong knowledge in at least one of the following fields: machine learning, data visualization, statistical modeling, data mining, or information retrieval
Strong data extraction and processing, using MapReduce, Pig, and/or Hive preferred
Ability to travel up to eighty percent of the time. Must be legally authorized to work in the US without sponsorship of a VISA.
KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an equal opportunity employer. All qualified applicants are considered for employment without regard to race, color, creed, religion, age, sex/gender, national origin, ancestry, citizenship status, marital status, sexual orientation, gender identity or expression, disability, physical or mental handicap unrelated to ability, pregnancy, veteran status, unfavorable discharge from military service, genetic information, personal appearance, family responsibility, matriculation or political affiliation, or other legally protected status. KPMG maintains a drug-free workplace. KPMG will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of applicable local, state or federal law (including San Francisco Ordinance number 131192). No phone calls or agencies please.",4494,Atlanta,GA
